probe_id,gene_name,description
ENSCAFG00000048531,ENSCAFG00000048531,lncRNA
ENSCAFG00000027566,ENSCAFG00000027566,scaRNA
ENSCAFG00000031405,U6,snRNA
ENSCAFG00000047952,ENSCAFG00000047952,pseudogene
ENSCAFG00000021097,U6,snRNA
ENSCAFG00000029593,TMEM35A,protein_coding
ENSCAFG00000029100,RIPPLY1,protein_coding
ENSCAFG00000045969,ZNF157,protein_coding
ENSCAFG00000013545,ARX,protein_coding
ENSCAFG00000018250,PLS3,protein_coding
ENSCAFG00000032560,EMD,protein_coding
ENSCAFG00000016241,SMC1A,protein_coding
ENSCAFG00000031946,CLDN2,protein_coding
ENSCAFG00000015042,ENSCAFG00000015042,protein_coding
ENSCAFG00000017593,CENPI,protein_coding
ENSCAFG00000019094,AFF2,protein_coding
ENSCAFG00000017618,DRP2,protein_coding
ENSCAFG00000015031,ZNF41,protein_coding
ENSCAFG00000042275,ENSCAFG00000042275,lncRNA
ENSCAFG00000019521,FLNA,protein_coding
ENSCAFG00000040840,ENSCAFG00000040840,lncRNA
ENSCAFG00000017953,MORC4,protein_coding
ENSCAFG00000048067,ENSCAFG00000048067,protein_coding
ENSCAFG00000013550,ENSCAFG00000013550,protein_coding
ENSCAFG00000013554,ENSCAFG00000013554,protein_coding
ENSCAFG00000017627,TAF7L,protein_coding
ENSCAFG00000048973,ENSCAFG00000048973,lncRNA
ENSCAFG00000047212,ENSCAFG00000047212,lncRNA
ENSCAFG00000013570,ENSCAFG00000013570,protein_coding
ENSCAFG00000015115,ARAF,protein_coding
ENSCAFG00000044019,ENSCAFG00000044019,lncRNA
ENSCAFG00000017959,RBM41,protein_coding
ENSCAFG00000017633,TIMM8A,protein_coding
ENSCAFG00000015146,SYN1,protein_coding
ENSCAFG00000017963,NUP62CL,protein_coding
ENSCAFG00000015155,TIMP1,protein_coding
ENSCAFG00000013579,MAGEB18,protein_coding
ENSCAFG00000017669,BTK,protein_coding
ENSCAFG00000026839,U8,snoRNA
ENSCAFG00000017968,DNAAF6,protein_coding
ENSCAFG00000043251,ENSCAFG00000043251,protein_coding
ENSCAFG00000048501,ENSCAFG00000048501,lncRNA
ENSCAFG00000030760,U6,snRNA
ENSCAFG00000045614,ENSCAFG00000045614,lncRNA
ENSCAFG00000023523,ENSCAFG00000023523,protein_coding
ENSCAFG00000013584,ENSCAFG00000013584,protein_coding
ENSCAFG00000036840,ENSCAFG00000036840,lncRNA
ENSCAFG00000005939,ENSCAFG00000005939,protein_coding
ENSCAFG00000017969,ENSCAFG00000017969,protein_coding
ENSCAFG00000045333,ENSCAFG00000045333,protein_coding
ENSCAFG00000043056,ENSCAFG00000043056,lncRNA
ENSCAFG00000042513,ENSCAFG00000042513,lncRNA
ENSCAFG00000046810,ENSCAFG00000046810,lncRNA
ENSCAFG00000049067,ENSCAFG00000049067,protein_coding
ENSCAFG00000015163,CFP,protein_coding
ENSCAFG00000017972,FRMPD3,protein_coding
ENSCAFG00000026998,U6,snRNA
ENSCAFG00000038375,ENSCAFG00000038375,lncRNA
ENSCAFG00000013598,PPP4R3C,protein_coding
ENSCAFG00000017976,PRPS1,protein_coding
ENSCAFG00000045949,ENSCAFG00000045949,lncRNA
ENSCAFG00000048795,ENSCAFG00000048795,lncRNA
ENSCAFG00000019096,IDS,protein_coding
ENSCAFG00000015178,ELK1,protein_coding
ENSCAFG00000039391,ENSCAFG00000039391,lncRNA
ENSCAFG00000049557,ENSCAFG00000049557,lncRNA
ENSCAFG00000047774,ENSCAFG00000047774,lncRNA
ENSCAFG00000045396,ENSCAFG00000045396,lncRNA
ENSCAFG00000018264,AGTR2,protein_coding
ENSCAFG00000013603,ENSCAFG00000013603,protein_coding
ENSCAFG00000047987,ENSCAFG00000047987,lncRNA
ENSCAFG00000042628,ENSCAFG00000042628,lncRNA
ENSCAFG00000013604,MAGEB10,protein_coding
ENSCAFG00000015183,UXT,protein_coding
ENSCAFG00000031344,ENSCAFG00000031344,protein_coding
ENSCAFG00000024378,ENSCAFG00000024378,protein_coding
ENSCAFG00000018266,SLC6A14,protein_coding
ENSCAFG00000045395,ENSCAFG00000045395,snoRNA
ENSCAFG00000030491,SNORA70,snoRNA
ENSCAFG00000045598,ENSCAFG00000045598,lncRNA
ENSCAFG00000019555,DNASE1L1,protein_coding
ENSCAFG00000031907,ENSCAFG00000031907,protein_coding
ENSCAFG00000030447,ENSCAFG00000030447,protein_coding
ENSCAFG00000028660,CT83,protein_coding
ENSCAFG00000015170,ZNF81,protein_coding
ENSCAFG00000019568,TAZ,protein_coding
ENSCAFG00000029920,TSC22D3,protein_coding
ENSCAFG00000049633,ENSCAFG00000049633,lncRNA
ENSCAFG00000018270,ENSCAFG00000018270,protein_coding
ENSCAFG00000044550,ENSCAFG00000044550,protein_coding
ENSCAFG00000035375,ENSCAFG00000035375,lncRNA
ENSCAFG00000016274,RIBC1,protein_coding
ENSCAFG00000013632,IL1RAPL1,protein_coding
ENSCAFG00000030819,U6,snRNA
ENSCAFG00000018271,ENSCAFG00000018271,processed_pseudogene
ENSCAFG00000029639,ENSCAFG00000029639,protein_coding
ENSCAFG00000047230,Metazoa_SRP,misc_RNA
ENSCAFG00000046767,ENSCAFG00000046767,lncRNA
ENSCAFG00000039949,ENSCAFG00000039949,lncRNA
ENSCAFG00000032604,ENSCAFG00000032604,protein_coding
ENSCAFG00000018272,KLHL13,protein_coding
ENSCAFG00000029428,ENSCAFG00000029428,protein_coding
ENSCAFG00000013644,ENSCAFG00000013644,protein_coding
ENSCAFG00000023024,ENSCAFG00000023024,protein_coding
ENSCAFG00000030952,ENSCAFG00000030952,protein_coding
ENSCAFG00000041503,ENSCAFG00000041503,protein_coding
ENSCAFG00000026291,ENSCAFG00000026291,snoRNA
ENSCAFG00000025942,ENSCAFG00000025942,snoRNA
ENSCAFG00000019582,ATP6AP1,protein_coding
ENSCAFG00000045935,ENSCAFG00000045935,processed_pseudogene
ENSCAFG00000019103,TMEM185A,protein_coding
ENSCAFG00000042115,ENSCAFG00000042115,protein_coding
ENSCAFG00000017992,MID2,protein_coding
ENSCAFG00000043117,ENSCAFG00000043117,lncRNA
ENSCAFG00000047250,ENSCAFG00000047250,lncRNA
ENSCAFG00000047478,ENSCAFG00000047478,protein_coding
ENSCAFG00000016277,HSD17B10,protein_coding
ENSCAFG00000031525,ZNF630,protein_coding
ENSCAFG00000045783,GDI1,protein_coding
ENSCAFG00000043092,U2,snRNA
ENSCAFG00000020867,U4,snRNA
ENSCAFG00000028499,U6,snRNA
ENSCAFG00000018287,WDR44,protein_coding
ENSCAFG00000019586,FAM50A,protein_coding
ENSCAFG00000041488,ENSCAFG00000041488,lncRNA
ENSCAFG00000031700,ENSCAFG00000031700,lncRNA
ENSCAFG00000031491,U6,snRNA
ENSCAFG00000018000,ENSCAFG00000018000,protein_coding
ENSCAFG00000032176,ENSCAFG00000032176,protein_coding
ENSCAFG00000049607,ENSCAFG00000049607,protein_coding
ENSCAFG00000027912,SNORD22,snoRNA
ENSCAFG00000017688,ENSCAFG00000017688,protein_coding
ENSCAFG00000017692,GLA,protein_coding
ENSCAFG00000017693,HNRNPH2,protein_coding
ENSCAFG00000017697,ARMCX4,protein_coding
ENSCAFG00000049923,ENSCAFG00000049923,protein_coding
ENSCAFG00000028611,ENSCAFG00000028611,protein_coding
ENSCAFG00000023802,ARMCX1,protein_coding
ENSCAFG00000018004,VSIG1,protein_coding
ENSCAFG00000015307,ENSCAFG00000015307,protein_coding
ENSCAFG00000042590,ENSCAFG00000042590,protein_coding
ENSCAFG00000042125,U4,snRNA
ENSCAFG00000013658,NR0B1,protein_coding
ENSCAFG00000019587,PLXNA3,protein_coding
ENSCAFG00000017702,ARMCX6,protein_coding
ENSCAFG00000023067,ENSCAFG00000023067,protein_coding
ENSCAFG00000048943,ENSCAFG00000048943,lncRNA
ENSCAFG00000017704,ARMCX3,protein_coding
ENSCAFG00000048375,U4,snRNA
ENSCAFG00000049248,ENSCAFG00000049248,pseudogene
ENSCAFG00000016311,HUWE1,protein_coding
